du g2_mean ci_low ci_high
-64 -4.050e-04 -0.001867 0.001057
-63 5.720e-04 -7.990e-04 0.001942
-62 2.040e-04 -0.001218 0.001626
-61 8.780e-04 -4.990e-04 0.002255
-60 8.260e-04 -4.620e-04 0.002115
-59 7.680e-04 -6.710e-04 0.002207
-58 2.920e-04 -0.001067 0.001651
-57 8.760e-04 -4.360e-04 0.002187
-56 7.040e-04 -7.520e-04 0.002161
-55 0.001095 -2.770e-04 0.002468
-54 0.001015 -2.750e-04 0.002306
-53 0.002231 8.070e-04 0.003656
-52 0.001120 -2.660e-04 0.002505
-51 0.002800 0.001527 0.004074
-50 0.001229 -2.380e-04 0.002695
-49 0.001339 4.200e-05 0.002635
-48 0.002493 0.001111 0.003875
-47 0.002176 8.210e-04 0.003532
-46 0.002523 0.001171 0.003874
-45 0.003970 0.002660 0.005280
-44 0.004384 0.003075 0.005693
-43 0.005045 0.003738 0.006351
-42 0.004017 0.002664 0.005371
-41 0.005935 0.004560 0.007310
-40 0.007088 0.005674 0.008503
-39 0.007740 0.006438 0.009042
-38 0.010679 0.009324 0.012035
-37 0.010457 0.009068 0.011845
-36 0.010980 0.009578 0.012383
-35 0.014402 0.012924 0.015879
-34 0.013482 0.012221 0.014743
-33 0.014054 0.012560 0.015548
-32 0.017043 0.015739 0.018346
-31 0.018476 0.017031 0.019920
-30 0.021129 0.019772 0.022487
-29 0.024092 0.022654 0.025531
-28 0.027412 0.025979 0.028846
-27 0.032669 0.031235 0.034104
-26 0.037970 0.036538 0.039403
-25 0.044276 0.042934 0.045618
-24 0.052387 0.050994 0.053780
-23 0.059013 0.057704 0.060321
-22 0.068597 0.067246 0.069948
-21 0.079370 0.078054 0.080685
-20 0.089880 0.088479 0.091281
-19 0.100203 0.098770 0.101636
-18 0.113593 0.112224 0.114962
-17 0.127389 0.125980 0.128799
-16 0.138313 0.136947 0.139678
-15 0.153557 0.152145 0.154969
-14 0.167504 0.166019 0.168988
-13 0.185442 0.184034 0.186851
-12 0.204658 0.203294 0.206023
-11 0.228775 0.227384 0.230166
-10 0.257645 0.256304 0.258986
-9 0.293008 0.291611 0.294405
-8 0.337392 0.335950 0.338833
-7 0.392068 0.390690 0.393445
-6 0.456869 0.455478 0.458260
-5 0.535762 0.534395 0.537129
-4 0.625780 0.624524 0.627037
-3 0.727798 0.726392 0.729205
-2 0.843158 0.841905 0.844410
-1 0.967933 0.966551 0.969315
0 1.099971 1.098630 1.101312
1 0.966480 0.965038 0.967922
2 0.841718 0.840344 0.843092
3 0.727141 0.725779 0.728504
4 0.625097 0.623740 0.626453
5 0.534387 0.532952 0.535823
6 0.456991 0.455680 0.458302
7 0.392736 0.391331 0.394141
8 0.336982 0.335651 0.338314
9 0.293023 0.291736 0.294309
10 0.258092 0.256716 0.259468
11 0.228665 0.227338 0.229992
12 0.206240 0.204919 0.207561
13 0.186044 0.184710 0.187379
14 0.167446 0.166048 0.168845
15 0.153723 0.152280 0.155165
16 0.139477 0.138116 0.140838
17 0.126774 0.125394 0.128154
18 0.112937 0.111535 0.114339
19 0.101352 0.099842 0.102861
20 0.090913 0.089638 0.092187
21 0.079737 0.078507 0.080967
22 0.069111 0.067740 0.070481
23 0.058918 0.057635 0.060201
24 0.050794 0.049433 0.052154
25 0.044271 0.042993 0.045550
26 0.036937 0.035574 0.038299
27 0.031914 0.030681 0.033146
28 0.028108 0.026838 0.029379
29 0.023197 0.021829 0.024566
30 0.021455 0.019968 0.022942
31 0.018204 0.016810 0.019598
32 0.016044 0.014612 0.017475
33 0.015147 0.013715 0.016580
34 0.014403 0.012900 0.015905
35 0.011838 0.010482 0.013194
36 0.012089 0.010745 0.013432
37 0.010169 0.008796 0.011543
38 0.008499 0.007166 0.009833
39 0.008651 0.007236 0.010066
40 0.007432 0.006077 0.008787
41 0.006792 0.005436 0.008149
42 0.005033 0.003617 0.006449
43 0.005972 0.004535 0.007408
44 0.004590 0.003234 0.005946
45 0.004020 0.002666 0.005374
46 0.003158 0.001826 0.004491
47 9.450e-04 -4.370e-04 0.002327
48 0.001385 6.900e-05 0.002700
49 0.001808 5.120e-04 0.003105
50 0.001237 -1.840e-04 0.002658
51 0.001621 2.440e-04 0.002998
52 0.001841 4.770e-04 0.003206
53 0.001977 5.680e-04 0.003386
54 0.001899 4.400e-04 0.003357
55 3.950e-04 -8.630e-04 0.001654
56 0.002011 6.150e-04 0.003407
57 0.001895 4.890e-04 0.003301
58 9.180e-04 -5.190e-04 0.002356
59 7.960e-04 -5.280e-04 0.002120
60 6.970e-04 -6.710e-04 0.002065
61 2.790e-04 -0.001143 0.001700
62 -3.590e-04 -0.001713 9.950e-04
63 7.650e-04 -5.290e-04 0.002058
64 -8.450e-04 -0.002372 6.810e-04
